id,outward_code,area_name,distance_miles,drive_hours,active_customer_count
postcode_distance_AB,AB,Aberdeen,449,8.0,16
postcode_distance_AL,AL,St Albans,121,2.5,1
postcode_distance_B,B,Birmingham,33,1.0,54
postcode_distance_BA,BA,Bath,76,1.75,14
postcode_distance_BB,BB,Blackburn,137,3.0,14
postcode_distance_BD,BD,Bradford,160,3.5,6
postcode_distance_BH,BH,Bournemouth,149,3.0,3
postcode_distance_BL,BL,Bolton,123,3.0,2
postcode_distance_BN,BN,Brighton,183,3.5,3
postcode_distance_BS,BS,Bristol,63,1.25,4
postcode_distance_CA,CA,Carlisle,219,4.5,25
postcode_distance_CB,CB,Cambridge,130,2.75,6
postcode_distance_CF,CF,Cardiff,82,1.75,8
postcode_distance_CH,CH,Chester,122,2.75,8
postcode_distance_CM,CM,Chelmsford,174,3.5,5
postcode_distance_CO,CO,Colchester,184,3.75,8
postcode_distance_CV,CV,Coventry,53,1.0,24
postcode_distance_CW,CW,Crewe,83,2.25,20
postcode_distance_DA,DA,Dartford,176,3.5,1
postcode_distance_DD,DD,Dundee,384,7.0,11
postcode_distance_DE,DE,Derby,80,2.0,39
postcode_distance_DG,DG,Dumfries,252,5.0,2
postcode_distance_DH,DH,Durham,226,4.5,3
postcode_distance_DL,DL,Darlington,205,4.0,14
postcode_distance_DN,DN,Doncaster,127,2.75,15
postcode_distance_DT,DT,Dorchester,145,2.75,1
postcode_distance_DY,DY,Dudley,33,1.0,7
postcode_distance_EH,EH,Edinburgh,319,6.5,4
postcode_distance_EX,EX,Exeter,134,2.5,30
postcode_distance_FK,FK,Falkirk,327,6.0,3
postcode_distance_G,G,Glasgow,317,6.0,2
postcode_distance_GL,GL,Gloucester,29,0.75,29
postcode_distance_GU,GU,Guildford,130,2.75,5
postcode_distance_HD,HD,Huddersfield,145,3.5,5
postcode_distance_HG,HG,Harrogate,167,3.75,2
postcode_distance_HP,HP,Hemel Hempstead,121,2.5,8
postcode_distance_HR,HR,Hereford,27,1.0,121
postcode_distance_HU,HU,Hull,173,3.5,7
postcode_distance_IP,IP,Ipswich,180,3.5,9
postcode_distance_IV,IV,Inverness,472,8.5,1
postcode_distance_KY,KY,Kirkcaldy,358,6.5,2
postcode_distance_L,L,Liverpool,124,3.0,7
postcode_distance_LA,LA,Lancaster,154,3.25,9
postcode_distance_LD,LD,Llandrindod Wells,61,1.75,36
postcode_distance_LE,LE,Leicester,76,2.0,24
postcode_distance_LL,LL,Llandudno,165,3.5,29
postcode_distance_LN,LN,Lincoln,131,3.0,23
postcode_distance_LS,LS,Leeds,153,3.25,6
postcode_distance_LU,LU,Luton,112,2.25,4
postcode_distance_M,M,Manchester,112,3.0,8
postcode_distance_MK,MK,Milton Keynes,88,2.0,2
postcode_distance_ML,ML,Motherwell,304,5.5,4
postcode_distance_NE,NE,Newcastle Upon Tyne,241,4.75,18
postcode_distance_NG,NG,Nottingham,85,2.25,22
postcode_distance_NN,NN,Northampton,86,2.0,14
postcode_distance_NP,NP,Newport,71,1.5,24
postcode_distance_NR,NR,Norwich,189,3.75,13
postcode_distance_OX,OX,Oxford,89,1.75,10
postcode_distance_PE,PE,Peterborough,116,2.5,22
postcode_distance_PH,PH,Perth,363,6.5,2
postcode_distance_PL,PL,Plymouth,177,3.0,4
postcode_distance_PR,PR,Preston,133,3.0,13
postcode_distance_RG,RG,Reading,95,2.0,17
postcode_distance_S,S,Sheffield,124,2.75,7
postcode_distance_SA,SA,Swansea,111,2.5,11
postcode_distance_SK,SK,Stockport,111,2.75,7
postcode_distance_SL,SL,Slough,114,2.25,5
postcode_distance_SN,SN,Swindon,59,1.25,9
postcode_distance_SO,SO,Southampton,121,2.5,3
postcode_distance_SP,SP,Salisbury,97,2.5,8
postcode_distance_ST,ST,Stoke on Trent,71,1.75,23
postcode_distance_SY,SY,Shrewsbury,52,1.75,159
postcode_distance_TA,TA,Taunton,104,2.0,10
postcode_distance_TD,TD,Galashiels,279,5.75,25
postcode_distance_TF,TF,Telford,44,1.5,37
postcode_distance_TN,TN,Tonbridge,175,3.25,8
postcode_distance_TQ,TQ,Torquay,156,2.75,7
postcode_distance_TR,TR,Truro,224,3.75,4
postcode_distance_TS,TS,Cleveland,209,4.0,2
postcode_distance_WA,WA,Warrington,106,2.5,6
postcode_distance_WD,WD,Watford,128,2.5,2
postcode_distance_WF,WF,Wakefield,142,3.0,5
postcode_distance_WN,WN,Wigan,117,2.75,5
postcode_distance_WR,WR,Worcester,2,0.25,51
postcode_distance_WS,WS,Walsall,39,1.25,11
postcode_distance_WV,WV,Wolverhampton,38,1.5,23
postcode_distance_YO,YO,York,168,3.5,42
